date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2012:18:40%20GMT	http://i.nvxcdn.com/resb/viva88/common/images/products/VirtualSports_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/VirtualSports_desktop.15be73.delayed	(from https://www.pking88.com/b/vn)
19:18:42	17299/17299	---M--	200	added ('OK')	image/png	etag:%22e7ff9df2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/products/VirtualSports_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/VirtualSports_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:18:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2012:18:42%20GMT	http://i.nvxcdn.com/resb/viva88/common/images/products/E-Sports_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/E-Sports_desktop.17be73.delayed	(from https://www.pking88.com/b/vn)
19:18:44	20942/20942	---M--	200	added ('OK')	image/png	etag:%22cb139af2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/products/E-Sports_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/E-Sports_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:18:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2012:18:44%20GMT	http://i.nvxcdn.com/resb/viva88/common/images/products/NumberGame_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/NumberGame_desktop.19be73.delayed	(from https://www.pking88.com/b/vn)
19:18:45	16680/16680	---M--	200	added ('OK')	image/png	etag:%222d729bf2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/products/NumberGame_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/NumberGame_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:18:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2012:18:46%20GMT	http://i.nvxcdn.com/resb/viva88/common/images/products/Gaming_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/Gaming_desktop.1bbe73.delayed	(from https://www.pking88.com/b/vn)
19:18:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2012:18:48%20GMT	http://i.nvxcdn.com/resb/viva88/common/images/products/RNGKeno_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/RNGKeno_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:18:48	18737/18737	---M--	200	added ('OK')	image/png	etag:%22efd69af2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/products/Gaming_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/Gaming_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:18:50	18075/18075	---M--	200	added ('OK')	image/png	etag:%2264e9cf2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/products/RNGKeno_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/RNGKeno_desktopbe73.png	(from https://www.pking88.com/b/vn)
